ticker,company,bucket,earnings_date,short_term_stance,short_term_confidence,short_term_rationale,long_term_stance,long_term_confidence,long_term_rationale,key_evidence,sources,leakage_check
ANET,Arista Networks,ai_infrastructure,2026-02-17,Neutral,0.56,Beat and raised FY guide but after-hours reaction was mildly negative,Bullish,0.6,AI Ethernet and cloud demand supported medium-term upside,FY revenue up 28.6 percent and FY26 guide raised,Arista IR; Investing.com; Yahoo,Source release appears 2026-02-12
VRT,Vertiv,ai_infrastructure,2026-02-18,Bullish,0.8,Orders and 2026 guidance were materially above expectations,Bullish,0.78,AI data-center power and cooling demand plus backlog supported continuation,Q4 organic orders up 252 percent and 2026 guidance above consensus,Vertiv IR; Investing.com; TIKR,Source release appears 2026-02-11
CRM,Salesforce,software_cloud,2026-02-25,Neutral,0.54,Agentforce traction offset concern around core growth and software multiple pressure,Neutral,0.53,AI monetization promising but seat-based SaaS disruption narrative unresolved,Agentforce growth and AI disclosure context,IBD,Evidence partly after exact date
ADBE,Adobe,software_cloud,2026-03-11,Neutral,0.58,Beat but stock dipped and AI monetization was not enough for strong upside,Neutral,0.55,AI adoption helpful but ARR optics and stock business concerns persisted,Revenue 6.40B and EPS up 19 percent with stock down slightly AH,Adobe; Investing.com,Source appears 2026-03-12
NOW,ServiceNow,software_cloud,2026-01-28,Bullish,0.65,Q4 beat strong CRPO and AI ACV supported positive post-earnings view,Bullish,0.63,Now Assist monetization and 2026 subscription guide supported sustained edge,Subscription revenue up 21 percent and CRPO up 25 percent,ServiceNow IR; MarketBeat,Public on 2026-01-28
SNOW,Snowflake,software_cloud,2026-02-25,Bullish,0.64,Q4 beat and positive stock reaction supported short-term upside,Bullish,0.61,AI account adoption and large deals supported continuation,Revenue 1.28B up 30 percent and stock up about 5 percent,Snowflake IR; Investing.com; Fool,Public on 2026-02-25
PLTR,Palantir,software_cloud,2026-02-03,Bullish,0.72,Blowout Q4 growth and FY guide crushed expectations,Neutral,0.57,Extreme valuation reduced 30-day edge despite excellent fundamentals,Q4 revenue up 70 percent and US commercial up 137 percent,Palantir IR; LeverageShares,Public by 2026-02-03
DDOG,Datadog,software_cloud,2026-02-12,Bullish,0.63,Strong Q4 and upbeat guidance supported post-earnings strength,Bullish,0.6,Observability and AI workload growth supported continuation,FY revenue up 28 percent and Q4 revenue 953M up 29 percent,Datadog IR; Yahoo; Chartmill,Source appears 2026-02-10
MDB,MongoDB,software_cloud,2026-03-04,Bearish,0.78,Beat was overwhelmed by weak FY27 and Q1 guidance,Bearish,0.68,Atlas growth deceleration and guidance concerns likely persisted,Q4 revenue up 27 percent but guidance miss drove sharp selloff,MongoDB IR; Trefis; Tickeron,Source appears 2026-03-02 or 2026-03-03
NET,Cloudflare,software_cloud,2026-02-12,Bullish,0.62,Robust guide and AI security flywheel supported near-term upside,Bullish,0.58,AI traffic and security use cases supported 30-day thesis,FY26 guide above expectations and AI-driven security demand,IBD; MarketBeat; Cloudflare transcript,Source appears 2026-02-10 or 2026-02-11
MRVL,Marvell Technology,ai_semis,2026-03-05,Neutral,0.58,Record data-center results but stock reaction was mixed,Bullish,0.62,Raised AI custom silicon and connectivity guide supported 30-day upside,Q4 revenue 2.219B and AI-related guide raised,Marvell IR; Fool; Kavout,Public on 2026-03-05
WDC,Western Digital,ai_semis,2026-01-29,Bullish,0.66,Beat margin expansion and AI storage demand supported upside,Bullish,0.64,HDD demand and pricing supported storage-cycle strength,Revenue 3.02B up 25 percent and Q3 guide up about 40 percent YoY,WDC IR; Yahoo,Public on 2026-01-29
STX,Seagate Technology,ai_semis,2026-01-21,Bullish,0.66,Strong Q2 results and cash flow supported continuation,Bullish,0.64,AI cloud storage demand and HAMR narrative supported medium-term view,Revenue 2.83B and non-GAAP EPS 3.11,Seagate IR,Source appears 2026-01-27
COHR,Coherent,ai_infrastructure,2026-02-05,Neutral,0.57,Beat and guide positive but high expectations and cash flow concerns limited upside,Bullish,0.58,Optical and datacom AI demand supported recovery potential,Revenue 1.69B and EPS 1.29 with datacenter strength,Coherent IR; MLQ,Public by 2026-02-05
ALAB,Astera Labs,ai_infrastructure,2026-02-10,Bullish,0.76,Revenue up 92 percent and strong guide made AI connectivity catalyst clear,Bullish,0.72,Multi-product AI connectivity expansion supported sustained upside,Q4 revenue 270.6M up 92 percent and Q1 guide above Street,Astera IR; Futurum; Wedbush,Public on 2026-02-10
ETN,Eaton,power_infrastructure,2026-01-30,Bullish,0.68,Record Q4 and data-center orders supported upside,Bullish,0.66,Electrical Americas data-center demand and EPS guide supported continuation,Data-center orders up about 200 percent and revenue up about 40 percent in Electrical Americas,Eaton release and presentation,Source appears 2026-02-03
PWR,Quanta Services,power_infrastructure,2026-02-19,Bullish,0.7,Strong results and backlog tied to grid and data-center demand,Bullish,0.68,Multi-year grid and data-center power backlog supported 30-day outperformance,Record backlog and data-center infrastructure demand,Quanta IR; StockStory; Seeking Alpha,Public on 2026-02-19
CEG,Constellation Energy,power_infrastructure,2026-02-19,Bullish,0.66,Profit beat and data-center power demand supported positive reaction,Bullish,0.64,Nuclear and data-center PPA theme supported 30-day thesis,Beat profit estimates and shares up on data-center demand,Reuters,Source appears 2026-02-24
NRG,NRG Energy,power_infrastructure,2026-02-27,Bullish,0.6,Record FY results and data-center power agreements supported upside,Bullish,0.61,14 percent plus EPS and FCF CAGR target plus AI power upside supported 30-day view,FY adjusted EPS 8.24 and 6GW data-center power agreements,NRG materials; Yahoo,Source appears 2026-02-24
GEV,GE Vernova,power_infrastructure,2026-01-22,Bullish,0.75,Raised 2026 and 2028 outlook and backlog growth were strong catalysts,Bullish,0.74,Grid gas and electrification backlog supported sustained AI-power narrative,Orders up 65 percent organically and 2026 revenue and FCF guide raised,GE Vernova IR,Source appears 2026-01-28
EQIX,Equinix,data_center_reit,2026-02-11,Bullish,0.64,Robust 2026 outlook and xScale momentum offset Q4 timing issue,Bullish,0.61,Premium interconnection and data-center demand supported medium-term edge,2026 revenue growth 9 to 10 percent and EBITDA margin expansion,Equinix IR; MarketBeat,Public on 2026-02-11
DLR,Digital Realty,data_center_reit,2026-02-12,Bullish,0.65,Record bookings and strong 2026 FFO guide supported positive reaction,Bullish,0.63,AI and cloud leasing backlog provided revenue visibility,Q4 bookings 400M annualized GAAP rent and strong 2026 guide,DLR IR; Seeking Alpha; Investing.com,Source appears 2026-02-05
IRM,Iron Mountain,data_center_reit,2026-02-20,Neutral,0.5,Direct contemporaneous evidence not retrieved,Neutral,0.5,Legacy storage plus data-center expansion makes thesis mixed,Limited direct evidence retrieved,Limited source quality,Leakage conservative
AMT,American Tower,data_center_reit,2026-02-25,Neutral,0.56,Q4 beat offset by cautious 2026 outlook and tower overhang,Neutral,0.55,CoreSite growth helps but tower growth and churn issues reduce edge,AFFO per share up 8 percent and data-center revenue up 14 percent,AMT IR; Investing.com; Fool,Source appears 2026-02-24
CORZ,Core Scientific,data_center_operator,2026-03-12,Neutral,0.55,AI colocation ramp positive but revenue miss and restatement issues limited upside,Bullish,0.57,CoreWeave and AI factory revenue ramp offered medium-term upside if execution held,Revenue 79.8M versus 118.5M expected with colocation growth,CORZ IR; MarketBeat; Fool,Source appears 2026-03-02
IREN,IREN,data_center_operator,2026-02-12,Neutral,0.5,Limited exact earnings evidence and bitcoin sensitivity high,Bullish,0.54,AI cloud and datacenter pivot could add value but execution risk large,Later evidence showed AI infrastructure shift,IBD later context,Evidence not ideal for exact date
CLS,Celestica,ai_infrastructure,2026-01-27,Bullish,0.73,Q4 beat and raised 2026 outlook were clear catalysts,Bullish,0.7,AI infrastructure manufacturing demand supported continuation,Q4 revenue 3.65B up 44 percent and 2026 outlook raised,Celestica IR; MarketBeat,Source appears 2026-01-28
FLEX,Flex,ai_infrastructure,2026-01-28,Bullish,0.61,Beat and raised guide supported positive view,Bullish,0.6,AI and data-center modular power and cooling exposure supported edge,Sales 7.1B up 8 percent and record adjusted EPS,Flex IR; Seeking Alpha; MarketBeat,Source appears 2026-02-04
TEAM,Atlassian,software_cloud,2026-01-29,Bullish,0.62,Large EPS beat and cloud traction countered SaaS AI disruption fears,Neutral,0.56,AI disruption narrative still kept valuation sensitive,EPS 1.22 versus 0.73 and first 1B cloud revenue quarter,Investing.com; Yahoo,Source appears 2026-02-05
ZS,Zscaler,software_cloud,2026-03-04,Bullish,0.66,Strong Q2 ARR growth and raised guidance supported upside,Bullish,0.62,AI security and non-human-user demand improved SaaS defensibility,Revenue up 26 percent and ARR up 25 percent,Zscaler IR; Fool,Source appears 2026-02-26
CRWD,CrowdStrike,software_cloud,2026-03-04,Neutral,0.58,Strong ARR and FCF but after-hours reaction mildly negative,Bullish,0.6,AI identity and browser expansion supported 30-day improvement,ARR 5.25B up 24 percent and net new ARR up 47 percent,CrowdStrike IR; Investing.com,Source appears 2026-03-03
PANW,Palo Alto Networks,software_cloud,2026-02-12,Bearish,0.62,Beat but stock fell after hours on guide and acquisition margin concerns,Neutral,0.57,Platformization and NGS ARR strong but near-term multiple pressure,Revenue up 15 percent and NGS ARR up 33 percent,PANW IR; Investing.com,Source appears 2026-02-17
OKTA,Okta,software_cloud,2026-03-03,Neutral,0.57,Big EPS beat but growth guide was only high-single to low-double digit,Neutral,0.54,Profitability positive but growth deceleration limited alpha,Q4 revenue up 11 percent and FY guide up 9 percent,Okta IR; Public.com,Source appears 2026-03-04
APP,AppLovin,software_cloud,2026-02-12,Bearish,0.68,Blowout results but stock dropped on deceleration and AI competition fears,Neutral,0.57,Ad engine economics strong but concentration and competition risk limited edge,Q4 revenue 1.66B up 66 percent and EBITDA margin 84 percent,AppLovin IR; MLQ; Investing.com,Public around 2026-02-11 or 2026-02-12
SHOP,Shopify,software_cloud,2026-02-11,Bullish,0.62,Strong Q4 revenue FCF margin and buyback supported relief,Neutral,0.56,AI commerce upside offset by valuation and margin sensitivity,Q4 revenue up 31 percent and FCF margin 19 percent,Shopify IR; MLQ,Public on 2026-02-11
