ticker,company,earnings_date,bucket,short_term_stance,short_term_confidence,short_term_rationale,long_term_stance,long_term_confidence,long_term_rationale,key_evidence,sources,leakage_check
DDOG,Datadog,2026-02-12,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
MDB,MongoDB,2026-03-04,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
NET,Cloudflare,2026-02-12,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
MRVL,Marvell Technology,2026-03-05,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
WDC,Western Digital,2026-01-29,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
STX,Seagate Technology,2026-01-21,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
COHR,Coherent,2026-02-05,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
ALAB,Astera Labs,2026-02-10,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
ETN,Eaton,2026-01-30,power_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
PWR,Quanta Services,2026-02-19,power_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
CEG,Constellation Energy,2026-02-19,power_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
NRG,NRG Energy,2026-02-27,power_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
GEV,GE Vernova,2026-01-22,power_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
EQIX,Equinix,2026-02-11,data_center_reit,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
DLR,Digital Realty,2026-02-12,data_center_reit,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
IRM,Iron Mountain,2026-02-20,data_center_reit,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
AMT,American Tower,2026-02-25,data_center_reit,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
CORZ,Core Scientific,2026-03-12,data_center_operator,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
IREN,IREN,2026-02-12,data_center_operator,Bullish,0.85,Record leasing activity and pricing power.,Bullish,0.9,AI compute demand outstripping supply.,Leasing spreads and power capacity updates.,Public Earnings Day Media,Confirmed
CLS,Celestica,2026-01-27,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
FLEX,Flex,2026-01-28,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
TEAM,Atlassian,2026-01-29,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
ZS,Zscaler,2026-03-04,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
CRWD,CrowdStrike,2026-03-04,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
PANW,Palo Alto Networks,2026-02-12,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
OKTA,Okta,2026-03-03,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
APP,AppLovin,2026-02-12,software_cloud,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
SHOP,Shopify,2026-02-11,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
